label	number	printed_page	physical_page	pdf_sha256	page_png	page_image_sha256	machine_warnings	review_status	review_mode	print_label_line_weight	caption_separation	grayscale_accessibility	semantic_value	theorem_evidence_scope	higher_res_crop	notes
fig:wightman-fields-to-local-algebras	2.1	23	103	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0103.png	57ea1a6d812e2fc2509c87c38e267d436bf4135df2e51740260bc51b3303d8e6		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: labels/arrows readable; caption separated; diagram adds source-vs-net comparison structure; no color dependence.
fig:wightman-reconstruction	2.2	30	110	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0110.png	62028041fbdfe3b1683804326ec0dcaadd3ddef7f67ce80ab945939c92ff6cf2		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: proof-flow boxes readable; arrows clear; caption separated; semantic reconstruction sequence not redundant with prose.
fig:wightman-tube-analyticity	2.3	32	112	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0112.png	63566f3ce06379864ec43b97fdb441ff9e279962ec0ad6a0789becd06ac805fa		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: labels readable; colored regions also separated by position/outline/dashing; caption separated; semantics survive grayscale.
fig:aqft-local-net	3.1	38	118	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0118.png	af127b44c0090cb2a6bfc28736fb7dc8f5bdd9b323481ffa0e5ca5b8b60de4d9		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: isotony and spacelike-separation labels readable; no clipping; caption separated; diagram encodes defining net data.
fig:gns-representation	3.2	45	125	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0125.png	86caf37566667faa38f5afc238a57d8e334aebea060b7b569e11f1708e6cee18		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: all algebra/quotient labels readable; arrows clear; caption separated; construction flow is semantically useful.
fig:reeh-schlieder-cyclicity	3.3	65	145	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0145.png	f724342b711831c1e080e9569f6f50847e75676f1fd77005919f3d20ca8ae52a	substantial_color_pixels_check_grayscale_semantics	pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: labels readable despite color warning; color distinctions backed by shapes, arrows, and text; caption separated; proof mechanism is visible.
fig:dhr-localized-sector	4.1	68	148	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0148.png	17514fc6b0eeefb49f65ac4c27eb1ae84e58c1f2e1ea883cb0278c59fba142a4		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: spacelike-complement labels readable; pale regions visible but not color-only; caption separated; geometric sector meaning is clear.
fig:split-property	4.2	82	162	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0162.png	1f5c2a5b1aa878ee62a99d26ad216c09c09a61342ded8ba41296b1f72c71d0e7		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: line weights and labels readable; caption separated; nested-region/type-I interpolant content clear.
fig:modular-wedge-flow	4.3	104	184	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0184.png	e5258284295b10c07e4c9a6b1f30588b7428cd8fdc799458f9c08c0e51661179		pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: wedge, orbit, modular group labels readable; no clipping; caption separated; geometric modular-flow content clear.
fig:translation-spectrum-mass-shell	5.1	113	193	8671d9c77082d3cc1699ff2003ea578cd7e79f571d76a270463fca71baecebe3	monograph/tex/build/figure_audit_current/pages/page-0193.png	e28cb4e780521b2c1661c3bae5569072db070e7c702a56d8402419e86085e44a	substantial_color_pixels_check_grayscale_semantics	pass	full-page-120dpi-original	pass	pass	pass	pass	pass	not-needed	Original page review: color warning checked; threshold/shell/neighborhood labels readable and also separated geometrically; caption separated; spectral-gap content clear.
