candidate_id	source_path	disposition	ledger_key	reason
eq:bcfw-factorization-pole	monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex	excluded	rank-one spinor or BCFW pole factorization	BCFW pole identity is on-shell analytic factorization, not a hard-process QCD/SCET observable.
eq:null-momentum-spinor-factorization	monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex	excluded	rank-one spinor or BCFW pole factorization	Rank-one spinor decomposition of null momentum is kinematic spinor-helicity algebra.
eq:tree-factorization-bcfw	monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex	excluded	rank-one spinor or BCFW pole factorization	Tree pole residue factorization is an on-shell amplitude analytic property.
fig:bcfw-factorization	monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex	excluded	rank-one spinor or BCFW pole factorization	Figure illustrates BCFW pole geometry, outside hard-process factorization ledger.
eq:bound-state-lsz-pole-factorization	monograph/tex/volumes/volume_ii/chapter03_bound_states_from_exchange_amplitudes.tex	excluded	pole or residue factorization	Bound-state LSZ pole residue is an isolated singularity statement.
thm:bound-state-lsz-pole-factorization	monograph/tex/volumes/volume_ii/chapter03_bound_states_from_exchange_amplitudes.tex	excluded	pole or residue factorization	Bound-state pole theorem is not a cross-section factorization claim.
def:pole-factorized-resonance-object	monograph/tex/volumes/volume_ii/chapter04_unstable_particles_self_energies_and_resonances.tex	excluded	pole or residue factorization	Resonance pole object is a meromorphic-residue coordinate.
eq:resonance-residue-kernel	monograph/tex/volumes/volume_ii/chapter04_unstable_particles_self_energies_and_resonances.tex	excluded	pole or residue factorization	Residue kernel belongs to the resonance pole object.
eq:bethe-salpeter-four-point-pole-factorization	monograph/tex/volumes/volume_ii/chapter05_composite_bound_states_and_bethe_salpeter_amplitudes.tex	excluded	pole or residue factorization	Bethe-Salpeter four-point pole factorization is a bound-state residue statement.
thm:bethe-salpeter-pole-factorization	monograph/tex/volumes/volume_ii/chapter05_composite_bound_states_and_bethe_salpeter_amplitudes.tex	excluded	pole or residue factorization	Bethe-Salpeter theorem is excluded as pole/residue factorization.
eq:triple-regge-factorization-formula	monograph/tex/volumes/volume_ii/chapter07_partial_waves_dispersion_relations_and_high_energy_bounds.tex	included	eq:triple-regge-factorization-formula	Triple-Regge inclusive density row is inside declared Regge scope.
hyp:triple-regge-factorization-system	monograph/tex/volumes/volume_ii/chapter07_partial_waves_dispersion_relations_and_high_energy_bounds.tex	included	hyp:triple-regge-factorization-system	Triple-Regge hypothesis row is inside declared Regge scope.
def:qcd-exclusive-pion-factorization-scheme	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	def:qcd-exclusive-pion-factorization-scheme	Exclusive pion factorization scheme has its own hard-process row.
eq:dis-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:dis-factorization	DIS leading-twist factorization formula has its own row.
eq:qcd-common-factorization-budget	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-common-factorization-budget	Common QCD factorization budget has its own row.
eq:qcd-dis-threshold-factorized-coordinate	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-dis-threshold-factorized-coordinate	DIS threshold moment-space coordinate is included in the threshold-boundary row.
eq:qcd-drell-yan-integrated-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	included	eq:qcd-drell-yan-integrated-factorization	Integrated Drell-Yan formula has its own row.
