candidate_id	source_path	line_anchor	source_kind	trigger	disposition	ledger_key	reason
title:monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex:L1133:null-factorization-and-mostly-plus-spinor-invariant	monograph/tex/volumes/volume_i/chapter17_massless_particles_helicity_and_gauge_redundancy.tex	L1133	paragraph-title	factorization	excluded	rank-one spinor or BCFW pole factorization	Spinor invariant factorization is kinematic spinor-helicity algebra outside hard-process factorization.
title:monograph/tex/volumes/volume_ii/chapter04_unstable_particles_self_energies_and_resonances.tex:L1210:pole-factorized-resonance-objects	monograph/tex/volumes/volume_ii/chapter04_unstable_particles_self_energies_and_resonances.tex	L1210	section-title	factorization	excluded	pole or residue factorization	Resonance pole-factorized objects are residue coordinates, not hard soft collinear process factorization.
semantic:def:qcd-renormalized-integrated-pdf-datum:factorization-statement	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L10579	semantic-prose-window	factorization statement	grouped	eq:dis-factorization	Integrated PDF datum is source material for inclusive DIS factorization, not an independent process row.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L11080:dis-factorization-and-dglap-evolution	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L11080	subsection-title	factorization	grouped	eq:dis-factorization	Subsection title groups the DIS formula and DGLAP source material under the DIS ledger row.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L11153:common-dependency-ladder-for-qcd-factorization	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L11153	paragraph-title	factorization	grouped	eq:qcd-common-factorization-budget	Common dependency ladder is architecture for comparing rows, not a separate measured observable.
semantic:ca:color-space-hard-function-handoff:factorization-coordinate	monograph/tex/volumes/volume_ii/chapter06_analyticity_crossing_and_landau_singularities.tex	L4937	semantic-prose-window	factorization coordinate	grouped	eq:qcd-common-factorization-budget	Color-space hard-function handoff is amplitude-side architecture grouped under the common QCD factorization budget, not a standalone process row.
semantic:ca:one-loop-unresolved-measurement-cell:factorization-coordinate	monograph/tex/volumes/volume_ii/chapter06_analyticity_crossing_and_landau_singularities.tex	L4937	semantic-prose-window	factorization coordinate	grouped	eq:qcd-common-factorization-budget	Unresolved one-emission measurement cell is local fixed-order observable assembly grouped under the common QCD factorization budget, not a standalone process row.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L11941:drell-yan-factorization-and-glauber-status	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L11941	section-title	factorization	grouped	eq:qcd-drell-yan-integrated-factorization	Section title groups the integrated and TMD Drell-Yan rows under their process entries.
title:monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex:L12027:integrated-collinear-factorization-coordinate	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12027	paragraph-title	factorization	grouped	eq:qcd-drell-yan-integrated-factorization	Paragraph title is the integrated Drell-Yan collinear coordinate already represented in the ledger.
semantic:ca:qcd-drell-yan-integrated-theorem-boundary:factorization-theorem	monograph/tex/volumes/volume_ii/chapter19_qcd_renormalization_asymptotic_freedom_and_dis.tex	L12211	semantic-prose-window	factorization theorem	included	ca:qcd-drell-yan-integrated-theorem-boundary	Controlled approximation boundary is already an included Drell-Yan ledger occurrence.
